,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.1,0.35,0.6,0.3490658503988659,9.80665,10.0,1.5000000000000002,1.2122,-0.2878000000000003
0,0.01,0.35,0.6,0.3490658503988659,9.80665,10.0,1.324999999999979,1.2122,-0.11279999999997914
0,0.001,0.35,0.6,0.3490658503988659,9.80665,10.0,1.2175000000000051,1.2122,-0.0053000000000051894
0,0.0001,0.35,0.6,0.3490658503988659,9.80665,10.0,1.213574999998839,1.2122,-0.0013749999988390549
0,0.1,0.35,0.7,0.3490658503988659,9.80665,10.0,1.5000000000000002,1.2122,-0.2878000000000003
0,0.01,0.35,0.7,0.3490658503988659,9.80665,10.0,1.3159999999999807,1.2122,-0.1037999999999808
0,0.001,0.35,0.7,0.3490658503988659,9.80665,10.0,1.2262500000000003,1.2122,-0.01405000000000034
0,0.0001,0.35,0.7,0.3490658503988659,9.80665,10.0,1.2211374999988214,1.2122,-0.00893749999882143
0,0.1,0.35,0.8,0.3490658503988659,9.80665,10.0,1.7000000000000004,1.2122,-0.48780000000000046
0,0.01,0.35,0.8,0.3490658503988659,9.80665,10.0,1.3124999999999831,1.2122,-0.10029999999998318
0,0.001,0.35,0.8,0.3490658503988659,9.80665,10.0,1.2381249999999937,1.2122,-0.02592499999999376
0,0.0001,0.35,0.8,0.3490658503988659,9.80665,10.0,1.231212499998798,1.2122,-0.01901249999879795
0,0.1,0.35,0.9,0.3490658503988659,9.80665,10.0,,1.2122,
0,0.01,0.35,0.9,0.3490658503988659,9.80665,10.0,1.4674999999999798,1.2122,-0.2552999999999799
0,0.001,0.35,0.9,0.3490658503988659,9.80665,10.0,1.2530000000000825,1.2122,-0.04080000000008255
0,0.0001,0.35,0.9,0.3490658503988659,9.80665,10.0,1.2448124999987662,1.2122,-0.03261249999876625
0,0.1,0.27,0.0,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.0,0.3490658503988659,9.80665,10.0,1.099999999999982,1.0744,-0.02559999999998208
0,0.001,0.27,0.0,0.3490658503988659,9.80665,10.0,1.0522222222222435,1.0744,0.022177777777756535
0,0.0001,0.27,0.0,0.3490658503988659,9.80665,10.0,1.0506999999990334,1.0744,0.023700000000966615
0,0.1,0.27,0.1,0.3490658503988659,9.80665,10.0,1.3,1.0744,-0.22560000000000002
0,0.01,0.27,0.1,0.3490658503988659,9.80665,10.0,1.106249999999982,1.0744,-0.03184999999998195
0,0.001,0.27,0.1,0.3490658503988659,9.80665,10.0,1.0528888888889096,1.0744,0.021511111111090386
0,0.0001,0.27,0.1,0.3490658503988659,9.80665,10.0,1.0513444444434763,1.0744,0.02305555555652372
